Test Sample,ID,Result,Area (mm²),Diameter (µm),Roundness (%),Number of Voids,Overall Area Void (%),Area Biggest Void (%),Area Biggest Void (mm²),Ø Largest Void (%),Ø Largest Void (µm),Solder Paste
Step0001,1,OK,0.0,0,0.0,113,27.6,4.2,0.000,0.0,0,0.0
Step0001,2,OK,0.0,0,0.0,31,22.1,5.0,0.000,0.0,0,0.0
Step0001,3,OK,0.0,0,0.0,31,24.5,7.1,0.000,0.0,0,0.0
Step0001,4,OK,0.0,0,0.0,34,17.9,3.4,0.000,0.0,0,0.0
Step0001,5,OK,0.0,0,0.0,23,22.3,9.3,0.000,0.0,0,0.0
Step0001,6,OK,0.0,0,0.0,18,15.0,2.4,0.000,0.0,0,0.0
Step0001,7,OK,0.0,0,0.0,6,10.2,6.6,0.000,0.0,0,0.0
Step0001,8,OK,0.0,0,0.0,6,10.4,4.3,0.000,0.0,0,0.0
Step0001,9,OK,0.0,0,0.0,6,7.3,2.6,0.000,0.0,0,0.0
Step0001,10,OK,0.0,0,0.0,9,13.1,3.0,0.000,0.0,0,0.0
Step0001,11,OK,0.0,0,0.0,4,21.2,12.0,0.000,0.0,0,0.0
Step0001,12,OK,0.0,0,0.0,5,9.8,6.9,0.000,0.0,0,0.0
Step0001,13,OK,0.0,0,0.0,3,25.2,22.3,0.000,0.0,0,0.0
Step0001,14,OK,0.0,0,0.0,3,18.6,17.3,0.000,0.0,0,0.0
Step0001,15,OK,0.0,0,0.0,7,9.8,5.7,0.000,0.0,0,0.0
Step0001,16,OK,0.0,0,0.0,7,12.2,3.6,0.000,0.0,0,0.0
Step0001,17,OK,0.0,0,0.0,5,7.7,4.4,0.000,0.0,0,0.0
Step0001,18,OK,0.0,0,0.0,4,8.8,4.9,0.000,0.0,0,0.0
Step0001,19,OK,0.0,0,0.0,2,17.9,16.6,0.000,0.0,0,0.0
Step0001,20,OK,0.0,0,0.0,12,16.4,3.4,0.000,0.0,0,0.0
Step0001,21,OK,0.0,0,0.0,5,26.3,20.6,0.000,0.0,0,0.0
Step0001,22,OK,0.0,0,0.0,3,13.8,13.2,0.000,0.0,0,0.0
