Test Sample,ID,Result,Area (mm²),Diameter (µm),Roundness (%),Number of Voids,Overall Area Void (%),Area Biggest Void (%),Area Biggest Void (mm²),Ø Largest Void (%),Ø Largest Void (µm),Solder Paste
Step0004,1,OK,0.0,0,0.0,11,18.6,10.4,0.000,0.0,0,0.0
Step0004,2,OK,0.0,0,0.0,9,26.9,12.0,0.000,0.0,0,0.0
Step0004,3,OK,0.0,0,0.0,8,12.7,4.5,0.000,0.0,0,0.0
Step0004,4,OK,0.0,0,0.0,7,13.0,5.0,0.000,0.0,0,0.0
Step0004,5,OK,0.0,0,0.0,7,28.0,20.0,0.000,0.0,0,0.0
Step0004,6,OK,0.0,0,0.0,24,21.6,3.3,0.000,0.0,0,0.0
Step0004,7,OK,0.0,0,0.0,13,11.5,2.0,0.000,0.0,0,0.0
Step0004,8,OK,0.0,0,0.0,8,22.7,14.6,0.000,0.0,0,0.0
Step0004,9,OK,0.0,0,0.0,12,23.3,8.4,0.000,0.0,0,0.0
Step0004,10,OK,0.0,0,0.0,8,18.5,10.7,0.000,0.0,0,0.0
Step0004,11,OK,0.0,0,0.0,93,28.6,3.8,0.000,0.0,0,0.0
Step0004,12,OK,0.0,0,0.0,11,10.2,3.2,0.000,0.0,0,0.0
Step0004,13,OK,0.0,0,0.0,12,10.7,2.5,0.000,0.0,0,0.0
Step0004,14,OK,0.0,0,0.0,7,14.0,4.2,0.000,0.0,0,0.0
Step0004,15,OK,0.0,0,0.0,12,13.0,3.9,0.000,0.0,0,0.0
Step0004,16,OK,0.0,0,0.0,9,23.9,11.1,0.000,0.0,0,0.0
Step0004,17,OK,0.0,0,0.0,10,18.7,13.0,0.000,0.0,0,0.0
Step0004,18,OK,0.0,0,0.0,11,14.8,8.4,0.000,0.0,0,0.0
Step0004,19,OK,0.0,0,0.0,7,16.7,11.1,0.000,0.0,0,0.0
Step0004,20,OK,0.0,0,0.0,9,20.5,10.3,0.000,0.0,0,0.0
Step0004,21,OK,0.0,0,0.0,25,25.3,5.9,0.000,0.0,0,0.0
