Test Sample,ID,Result,Area (mm²),Diameter (µm),Roundness (%),Number of Voids,Overall Area Void (%),Area Biggest Void (%),Area Biggest Void (mm²),Ø Largest Void (%),Ø Largest Void (µm),Solder Paste
Step0002,1,OK,0.0,0,0.0,23,27.4,7.2,0.000,0.0,0,0.0
Step0002,2,OK,0.0,0,0.0,4,14.8,7.9,0.000,0.0,0,0.0
Step0002,3,OK,0.0,0,0.0,10,14.6,3.8,0.000,0.0,0,0.0
Step0002,4,OK,0.0,0,0.0,11,11.5,3.4,0.000,0.0,0,0.0
Step0002,5,OK,0.0,0,0.0,10,12.4,4.6,0.000,0.0,0,0.0
Step0002,6,OK,0.0,0,0.0,6,30.0,25.8,0.000,0.0,0,0.0
Step0002,7,OK,0.0,0,0.0,7,14.9,7.8,0.000,0.0,0,0.0
Step0002,8,OK,0.0,0,0.0,6,13.7,8.8,0.000,0.0,0,0.0
Step0002,9,OK,0.0,0,0.0,5,19.7,8.4,0.000,0.0,0,0.0
Step0002,10,OK,0.0,0,0.0,90,34.0,4.3,0.000,0.0,0,0.0
Step0002,11,OK,0.0,0,0.0,9,11.5,5.9,0.000,0.0,0,0.0
Step0002,12,OK,0.0,0,0.0,5,24.0,9.1,0.000,0.0,0,0.0
Step0002,13,OK,0.0,0,0.0,9,14.0,6.4,0.000,0.0,0,0.0
Step0002,14,Failed,0.0,0,0.0,1,45.6,45.6,0.000,0.0,0,0.0
Step0002,15,OK,0.0,0,0.0,10,20.0,8.5,0.000,0.0,0,0.0
Step0002,16,OK,0.0,0,0.0,23,20.6,3.3,0.000,0.0,0,0.0
Step0002,17,OK,0.0,0,0.0,10,16.6,6.0,0.000,0.0,0,0.0
Step0002,18,OK,0.0,0,0.0,7,12.1,5.2,0.000,0.0,0,0.0
Step0002,19,OK,0.0,0,0.0,2,26.5,22.8,0.000,0.0,0,0.0
Step0002,20,OK,0.0,0,0.0,7,19.0,10.1,0.000,0.0,0,0.0
Step0002,21,OK,0.0,0,0.0,14,14.9,12.0,0.000,0.0,0,0.0
