Test Sample,ID,Result,Area (mm²),Diameter (µm),Roundness (%),Number of Voids,Overall Area Void (%),Area Biggest Void (%),Area Biggest Void (mm²),Ø Largest Void (%),Ø Largest Void (µm),Solder Paste
Step0004,1,OK,0.0,0,0.0,10,18.4,11.5,0.000,0.0,0,0.0
Step0004,2,OK,0.0,0,0.0,9,12.2,9.3,0.000,0.0,0,0.0
Step0004,3,OK,0.0,0,0.0,8,16.8,10.7,0.000,0.0,0,0.0
Step0004,4,OK,0.0,0,0.0,5,40.8,34.9,0.000,0.0,0,0.0
Step0004,5,OK,0.0,0,0.0,10,22.1,8.6,0.000,0.0,0,0.0
Step0004,6,OK,0.0,0,0.0,23,28.9,8.6,0.000,0.0,0,0.0
Step0004,7,OK,0.0,0,0.0,11,21.8,7.5,0.000,0.0,0,0.0
Step0004,8,OK,0.0,0,0.0,5,18.9,10.5,0.000,0.0,0,0.0
Step0004,9,OK,0.0,0,0.0,7,17.0,8.9,0.000,0.0,0,0.0
Step0004,10,OK,0.0,0,0.0,7,21.6,9.8,0.000,0.0,0,0.0
Step0004,11,OK,0.0,0,0.0,111,30.7,3.7,0.000,0.0,0,0.0
Step0004,12,OK,0.0,0,0.0,5,12.0,6.4,0.000,0.0,0,0.0
Step0004,13,OK,0.0,0,0.0,4,18.7,14.7,0.000,0.0,0,0.0
Step0004,14,OK,0.0,0,0.0,4,10.3,8.2,0.000,0.0,0,0.0
Step0004,15,OK,0.0,0,0.0,6,25.6,20.9,0.000,0.0,0,0.0
Step0004,16,OK,0.0,0,0.0,13,16.0,10.5,0.000,0.0,0,0.0
Step0004,17,OK,0.0,0,0.0,7,27.1,10.3,0.000,0.0,0,0.0
Step0004,18,OK,0.0,0,0.0,8,15.5,8.9,0.000,0.0,0,0.0
Step0004,19,OK,0.0,0,0.0,6,19.6,10.8,0.000,0.0,0,0.0
Step0004,20,OK,0.0,0,0.0,9,14.9,10.5,0.000,0.0,0,0.0
Step0004,21,OK,0.0,0,0.0,25,22.6,3.3,0.000,0.0,0,0.0
