Test Sample,ID,Result,Area (mm²),Diameter (µm),Roundness (%),Number of Voids,Overall Area Void (%),Area Biggest Void (%),Area Biggest Void (mm²),Ø Largest Void (%),Ø Largest Void (µm),Solder Paste
Step0004,1,OK,0.0,0,0.0,12,22.0,12.8,0.000,0.0,0,0.0
Step0004,2,OK,0.0,0,0.0,4,15.4,13.8,0.000,0.0,0,0.0
Step0004,3,OK,0.0,0,0.0,6,14.4,12.7,0.000,0.0,0,0.0
Step0004,4,OK,0.0,0,0.0,6,16.5,7.0,0.000,0.0,0,0.0
Step0004,5,OK,0.0,0,0.0,6,30.9,28.5,0.000,0.0,0,0.0
Step0004,6,OK,0.0,0,0.0,19,30.0,11.1,0.000,0.0,0,0.0
Step0004,7,OK,0.0,0,0.0,4,35.1,28.3,0.000,0.0,0,0.0
Step0004,8,OK,0.0,0,0.0,10,17.5,7.3,0.000,0.0,0,0.0
Step0004,9,OK,0.0,0,0.0,6,29.1,12.9,0.000,0.0,0,0.0
Step0004,10,OK,0.0,0,0.0,9,16.6,8.9,0.000,0.0,0,0.0
Step0004,11,OK,0.0,0,0.0,92,34.5,5.1,0.000,0.0,0,0.0
Step0004,12,OK,0.0,0,0.0,7,31.1,23.8,0.000,0.0,0,0.0
Step0004,13,OK,0.0,0,0.0,9,21.1,8.0,0.000,0.0,0,0.0
Step0004,14,OK,0.0,0,0.0,8,15.2,10.4,0.000,0.0,0,0.0
Step0004,15,OK,0.0,0,0.0,7,19.1,8.8,0.000,0.0,0,0.0
Step0004,16,OK,0.0,0,0.0,10,24.9,11.5,0.000,0.0,0,0.0
Step0004,17,OK,0.0,0,0.0,8,19.8,8.2,0.000,0.0,0,0.0
Step0004,18,OK,0.0,0,0.0,9,24.1,9.6,0.000,0.0,0,0.0
Step0004,19,OK,0.0,0,0.0,4,24.3,20.1,0.000,0.0,0,0.0
Step0004,20,OK,0.0,0,0.0,6,17.3,8.0,0.000,0.0,0,0.0
Step0004,21,OK,0.0,0,0.0,19,30.3,9.4,0.000,0.0,0,0.0
