Test Sample,ID,Result,Area (mm²),Diameter (µm),Roundness (%),Number of Voids,Overall Area Void (%),Area Biggest Void (%),Area Biggest Void (mm²),Ø Largest Void (%),Ø Largest Void (µm),Solder Paste
Step0004,1,OK,0.0,0,0.0,11,18.8,12.3,0.000,0.0,0,0.0
Step0004,2,OK,0.0,0,0.0,9,9.5,7.4,0.000,0.0,0,0.0
Step0004,3,OK,0.0,0,0.0,6,23.7,17.3,0.000,0.0,0,0.0
Step0004,4,OK,0.0,0,0.0,5,18.3,15.3,0.000,0.0,0,0.0
Step0004,5,OK,0.0,0,0.0,8,20.5,11.5,0.000,0.0,0,0.0
Step0004,6,OK,0.0,0,0.0,20,34.3,16.5,0.000,0.0,0,0.0
Step0004,7,OK,0.0,0,0.0,8,23.3,12.7,0.000,0.0,0,0.0
Step0004,8,OK,0.0,0,0.0,6,26.6,19.5,0.000,0.0,0,0.0
Step0004,9,OK,0.0,0,0.0,11,18.9,6.6,0.000,0.0,0,0.0
Step0004,10,OK,0.0,0,0.0,11,15.6,8.9,0.000,0.0,0,0.0
Step0004,11,OK,0.0,0,0.0,84,35.3,7.2,0.000,0.0,0,0.0
Step0004,12,OK,0.0,0,0.0,8,20.8,9.4,0.000,0.0,0,0.0
Step0004,13,OK,0.0,0,0.0,2,22.2,17.2,0.000,0.0,0,0.0
Step0004,14,OK,0.0,0,0.0,5,18.9,15.9,0.000,0.0,0,0.0
Step0004,15,OK,0.0,0,0.0,3,37.2,32.7,0.000,0.0,0,0.0
Step0004,16,OK,0.0,0,0.0,9,27.5,10.8,0.000,0.0,0,0.0
Step0004,17,OK,0.0,0,0.0,6,12.2,8.6,0.000,0.0,0,0.0
Step0004,18,OK,0.0,0,0.0,6,18.8,10.7,0.000,0.0,0,0.0
Step0004,19,OK,0.0,0,0.0,6,17.0,13.8,0.000,0.0,0,0.0
Step0004,20,OK,0.0,0,0.0,3,19.9,18.8,0.000,0.0,0,0.0
Step0004,21,OK,0.0,0,0.0,20,27.9,7.9,0.000,0.0,0,0.0
