Test Sample,ID,Result,Area (mm²),Diameter (µm),Roundness (%),Number of Voids,Overall Area Void (%),Area Biggest Void (%),Area Biggest Void (mm²),Ø Largest Void (%),Ø Largest Void (µm),Solder Paste
Step0002,1,OK,0.0,0,0.0,31,19.8,2.3,0.000,0.0,0,0.0
Step0002,2,OK,0.0,0,0.0,6,15.7,9.8,0.000,0.0,0,0.0
Step0002,3,OK,0.0,0,0.0,7,12.2,8.2,0.000,0.0,0,0.0
Step0002,4,OK,0.0,0,0.0,8,12.1,4.3,0.000,0.0,0,0.0
Step0002,5,OK,0.0,0,0.0,10,10.6,3.3,0.000,0.0,0,0.0
Step0002,6,OK,0.0,0,0.0,21,19.2,10.3,0.000,0.0,0,0.0
Step0002,7,OK,0.0,0,0.0,5,31.5,28.5,0.000,0.0,0,0.0
Step0002,8,OK,0.0,0,0.0,9,15.3,4.6,0.000,0.0,0,0.0
Step0002,9,OK,0.0,0,0.0,9,18.7,13.5,0.000,0.0,0,0.0
Step0002,10,OK,0.0,0,0.0,97,32.2,3.8,0.000,0.0,0,0.0
Step0002,11,OK,0.0,0,0.0,10,17.0,7.9,0.000,0.0,0,0.0
Step0002,12,OK,0.0,0,0.0,12,14.6,5.6,0.000,0.0,0,0.0
Step0002,13,OK,0.0,0,0.0,8,11.1,4.8,0.000,0.0,0,0.0
Step0002,14,OK,0.0,0,0.0,12,19.1,5.8,0.000,0.0,0,0.0
Step0002,15,OK,0.0,0,0.0,12,16.4,4.3,0.000,0.0,0,0.0
Step0002,16,OK,0.0,0,0.0,24,23.5,2.9,0.000,0.0,0,0.0
Step0002,17,OK,0.0,0,0.0,8,30.6,23.3,0.000,0.0,0,0.0
Step0002,18,OK,0.0,0,0.0,9,15.0,3.2,0.000,0.0,0,0.0
Step0002,19,OK,0.0,0,0.0,6,12.8,6.8,0.000,0.0,0,0.0
Step0002,20,OK,0.0,0,0.0,10,10.0,4.8,0.000,0.0,0,0.0
Step0002,21,OK,0.0,0,0.0,11,19.7,10.3,0.000,0.0,0,0.0
