Test Sample,ID,Result,Area (mm²),Diameter (µm),Roundness (%),Number of Voids,Overall Area Void (%),Area Biggest Void (%),Area Biggest Void (mm²),Ø Largest Void (%),Ø Largest Void (µm),Solder Paste
Step0002,1,OK,0.0,0,0.0,21,30.2,7.8,0.000,0.0,0,0.0
Step0002,2,OK,0.0,0,0.0,7,11.8,5.3,0.000,0.0,0,0.0
Step0002,3,OK,0.0,0,0.0,4,24.0,17.3,0.000,0.0,0,0.0
Step0002,4,OK,0.0,0,0.0,6,31.1,13.9,0.000,0.0,0,0.0
Step0002,5,OK,0.0,0,0.0,2,22.5,21.6,0.000,0.0,0,0.0
Step0002,6,OK,0.0,0,0.0,6,22.0,20.6,0.000,0.0,0,0.0
Step0002,7,OK,0.0,0,0.0,3,15.6,14.4,0.000,0.0,0,0.0
Step0002,8,OK,0.0,0,0.0,9,18.8,8.6,0.000,0.0,0,0.0
Step0002,9,OK,0.0,0,0.0,3,32.3,31.9,0.000,0.0,0,0.0
Step0002,10,OK,0.0,0,0.0,99,35.5,3.5,0.000,0.0,0,0.0
Step0002,11,OK,0.0,0,0.0,12,19.7,9.4,0.000,0.0,0,0.0
Step0002,12,OK,0.0,0,0.0,6,19.4,17.0,0.000,0.0,0,0.0
Step0002,13,OK,0.0,0,0.0,8,14.3,7.9,0.000,0.0,0,0.0
Step0002,14,OK,0.0,0,0.0,10,13.5,4.6,0.000,0.0,0,0.0
Step0002,15,OK,0.0,0,0.0,7,11.2,3.4,0.000,0.0,0,0.0
Step0002,16,OK,0.0,0,0.0,22,23.3,3.0,0.000,0.0,0,0.0
Step0002,17,OK,0.0,0,0.0,6,21.7,8.5,0.000,0.0,0,0.0
Step0002,18,OK,0.0,0,0.0,9,23.2,17.1,0.000,0.0,0,0.0
Step0002,19,OK,0.0,0,0.0,7,37.0,30.9,0.000,0.0,0,0.0
Step0002,20,OK,0.0,0,0.0,5,14.1,5.8,0.000,0.0,0,0.0
Step0002,21,OK,0.0,0,0.0,10,23.2,9.9,0.000,0.0,0,0.0
