Test Sample,ID,Result,Area (mm²),Diameter (µm),Roundness (%),Number of Voids,Overall Area Void (%),Area Biggest Void (%),Area Biggest Void (mm²),Ø Largest Void (%),Ø Largest Void (µm),Solder Paste
Step0002,1,OK,0.0,0,0.0,103,22.1,6.4,0.000,0.0,0,0.0
Step0002,2,OK,0.0,0,0.0,26,24.5,4.9,0.000,0.0,0,0.0
Step0002,3,OK,0.0,0,0.0,23,16.0,7.2,0.000,0.0,0,0.0
Step0002,4,OK,0.0,0,0.0,9,25.9,23.1,0.000,0.0,0,0.0
Step0002,5,OK,0.0,0,0.0,23,19.7,6.1,0.000,0.0,0,0.0
Step0002,6,OK,0.0,0,0.0,4,10.1,6.0,0.000,0.0,0,0.0
Step0002,7,OK,0.0,0,0.0,5,7.1,3.6,0.000,0.0,0,0.0
Step0002,8,OK,0.0,0,0.0,3,18.0,15.0,0.000,0.0,0,0.0
Step0002,9,OK,0.0,0,0.0,6,24.3,13.9,0.000,0.0,0,0.0
Step0002,10,OK,0.0,0,0.0,7,7.5,2.9,0.000,0.0,0,0.0
Step0002,11,OK,0.0,0,0.0,5,6.0,4.5,0.000,0.0,0,0.0
Step0002,12,OK,0.0,0,0.0,3,6.1,3.5,0.000,0.0,0,0.0
Step0002,13,OK,0.0,0,0.0,2,17.2,11.0,0.000,0.0,0,0.0
Step0002,14,OK,0.0,0,0.0,4,7.9,6.2,0.000,0.0,0,0.0
Step0002,15,OK,0.0,0,0.0,7,9.2,3.0,0.000,0.0,0,0.0
Step0002,16,OK,0.0,0,0.0,4,8.9,5.9,0.000,0.0,0,0.0
Step0002,17,OK,0.0,0,0.0,5,9.1,5.0,0.000,0.0,0,0.0
Step0002,18,OK,0.0,0,0.0,5,9.2,3.9,0.000,0.0,0,0.0
Step0002,19,OK,0.0,0,0.0,11,15.8,4.4,0.000,0.0,0,0.0
Step0002,20,OK,0.0,0,0.0,8,16.9,5.8,0.000,0.0,0,0.0
Step0002,21,OK,0.0,0,0.0,10,16.4,5.1,0.000,0.0,0,0.0
